Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    B7F0154A time date stamp
        0.00 version
           8 ordinal base
        2485 number of functions
        2484 number of names

    ordinal hint RVA      name

        409  190 000A0E50 NtLoadKeyEx
        410  191 000A0E70 NtLockFile
        411  192 000A0E90 NtLockProductActivationKeys
        412  193 000A0EB0 NtLockRegistryKey
        413  194 000A0ED0 NtLockVirtualMemory
        414  195 000A0EF0 NtMakePermanentObject
        415  196 000A0F10 NtMakeTemporaryObject
        416  197 000A0F30 NtManageHotPatch
        417  198 000A0F50 NtManagePartition
        418  199 000A0F70 NtMapCMFModule
        419  19A 000A0F90 NtMapUserPhysicalPages
        420  19B 0009ECA0 NtMapUserPhysicalPagesScatter
        421  19C 0009F140 NtMapViewOfSection
        422  19D 000A0FB0 NtMapViewOfSectionEx
        423  19E 000A0FD0 NtModifyBootEntry
        424  19F 000A0FF0 NtModifyDriverEntry
        425  1A0 000A1010 NtNotifyChangeDirectoryFile
        426  1A1 000A1030 NtNotifyChangeDirectoryFileEx
        427  1A2 000A1050 NtNotifyChangeKey
        428  1A3 000A1070 NtNotifyChangeMultipleKeys
        429  1A4 000A1090 NtNotifyChangeSession
        430  1A5 000A10B0 NtOpenCpuPartition
        431  1A6 0009F740 NtOpenDirectoryObject
        432  1A7 000A10D0 NtOpenEnlistment
        433  1A8 0009F440 NtOpenEvent
        434  1A9 000A10F0 NtOpenEventPair
        435  1AA 0009F2A0 NtOpenFile
        436  1AB 000A1110 NtOpenIoCompletion
        437  1AC 000A1130 NtOpenJobObject
        438  1AD 0009EE80 NtOpenKey
        439  1AE 000A1150 NtOpenKeyEx
        440  1AF 000A1170 NtOpenKeyTransacted
        441  1B0 000A1190 NtOpenKeyTransactedEx
        442  1B1 000A11B0 NtOpenKeyedEvent
        443  1B2 000A11D0 NtOpenMutant
        444  1B3 000A11F0 NtOpenObjectAuditAlarm
        445  1B4 000A1210 NtOpenPartition
        446  1B5 000A1230 NtOpenPrivateNamespace
        447  1B6 0009F100 NtOpenProcess
        448  1B7 000A1250 NtOpenProcessToken
        449  1B8 0009F240 NtOpenProcessTokenEx
        450  1B9 000A1270 NtOpenRegistryTransaction
        451  1BA 000A1290 NtOpenResourceManager
        452  1BB 0009F320 NtOpenSection
        453  1BC 000A12B0 NtOpenSemaphore
        454  1BD 000A12D0 NtOpenSession
        455  1BE 000A12F0 NtOpenSymbolicLinkObject
        456  1BF 000A1310 NtOpenThread
        457  1C0 0009F0C0 NtOpenThreadToken
        458  1C1 0009F220 NtOpenThreadTokenEx
        459  1C2 000A1330 NtOpenTimer
        460  1C3 000A1350 NtOpenTransaction
        461  1C4 000A1370 NtOpenTransactionManager
        462  1C5 000A1390 NtPlugPlayControl
        463  1C6 0009F810 NtPowerInformation
        464  1C7 000A13B0 NtPrePrepareComplete
        465  1C8 000A13D0 NtPrePrepareEnlistment
        466  1C9 000A13F0 NtPrepareComplete
        467  1CA 000A1410 NtPrepareEnlistment
        468  1CB 000A1430 NtPrivilegeCheck
        469  1CC 000A1450 NtPrivilegeObjectAuditAlarm
        470  1CD 000A1470 NtPrivilegedServiceAuditAlarm
        471  1CE 000A1490 NtPropagationComplete
        472  1CF 000A14B0 NtPropagationFailed
        473  1D0 0009F640 NtProtectVirtualMemory
        474  1D1 000A14D0 NtPssCaptureVaSpaceBulk
        475  1D2 000A14F0 NtPulseEvent
        476  1D3 0009F3E0 NtQueryAttributesFile
        477  1D4 000A1510 NtQueryAuxiliaryCounterFrequency
        478  1D5 000A1530 NtQueryBootEntryOrder
        479  1D6 000A1550 NtQueryBootOptions
        480  1D7 000A1570 NtQueryDebugFilterState
        481  1D8 0009EEE0 NtQueryDefaultLocale
        482  1D9 0009F4C0 NtQueryDefaultUILanguage
        483  1DA 0009F2E0 NtQueryDirectoryFile
        484  1DB 000A1590 NtQueryDirectoryFileEx
        485  1DC 000A15B0 NtQueryDirectoryObject
        486  1DD 000A15D0 NtQueryDriverEntryOrder
        487  1DE 000A15F0 NtQueryEaFile
        488  1DF 0009F700 NtQueryEvent
        489  1E0 000A1610 NtQueryFullAttributesFile
        490  1E1 000A1630 NtQueryInformationAtom
        491  1E2 000A1650 NtQueryInformationByName
        492  1E3 000A1670 NtQueryInformationCpuPartition
        493  1E4 000A1690 NtQueryInformationEnlistment
        494  1E5 0009EE60 NtQueryInformationFile
        495  1E6 000A16B0 NtQueryInformationJobObject
        496  1E7 000A16D0 NtQueryInformationPort
        497  1E8 0009EF60 NtQueryInformationProcess
        498  1E9 000A16F0 NtQueryInformationResourceManager
        499  1EA 0009F0E0 NtQueryInformationThread
        500  1EB 0009F060 NtQueryInformationToken
        501  1EC 000A1710 NtQueryInformationTransaction
        502  1ED 000A1730 NtQueryInformationTransactionManager
        503  1EE 000A1750 NtQueryInformationWorkerFactory
        504  1EF 000A1770 NtQueryInstallUILanguage
        505  1F0 000A1790 NtQueryIntervalProfile
        506  1F1 000A17B0 NtQueryIoCompletion
        507  1F2 000A17D0 NtQueryIoRingCapabilities
        508  1F3 0009EF00 NtQueryKey
        509  1F4 000A17F0 NtQueryLicenseValue
        510  1F5 000A1810 NtQueryMultipleValueKey
        511  1F6 000A1830 NtQueryMutant
        512  1F7 0009EE40 NtQueryObject
        513  1F8 000A1850 NtQueryOpenSubKeys
        514  1F9 000A1870 NtQueryOpenSubKeysEx
        515  1FA 0009F260 NtQueryPerformanceCounter
        516  1FB 000A1890 NtQueryPortInformationProcess
        517  1FC 000A18B0 NtQueryQuotaInformationFile
        518  1FD 0009F660 NtQuerySection
        519  1FE 000A18D0 NtQuerySecurityAttributesToken
        520  1FF 000A18F0 NtQuerySecurityObject
        521  200 000A1910 NtQuerySecurityPolicy
        522  201 000A1930 NtQuerySemaphore
        523  202 000A1950 NtQuerySymbolicLinkObject
        524  203 000A1970 NtQuerySystemEnvironmentValue
        525  204 000A1990 NtQuerySystemEnvironmentValueEx
        526  205 0009F300 NtQuerySystemInformation
        527  206 000A19B0 NtQuerySystemInformationEx
        528  207 0009F780 NtQuerySystemTime
        529  208 0009F340 NtQueryTimer
        530  209 000A19D0 NtQueryTimerResolution
        531  20A 0009EF20 NtQueryValueKey
        532  20B 0009F0A0 NtQueryVirtualMemory
        533  20C 0009F560 NtQueryVolumeInformationFile
        534  20D 000A19F0 NtQueryWnfStateData
        535  20E 000A1A10 NtQueryWnfStateNameInformation
        536  20F 0009F4E0 NtQueueApcThread
        537  210 000A1A30 NtQueueApcThreadEx
        538  211 000A1A50 NtQueueApcThreadEx2
        539  212 000A1A70 NtRaiseException
        540  213 000A1A90 NtRaiseHardError
        541  214 0009ED00 NtReadFile
        542  215 0009F200 NtReadFileScatter
        543  216 000A1AB0 NtReadOnlyEnlistment
        544  217 0009F6C0 NtReadRequestData
        545  218 0009F420 NtReadVirtualMemory
        546  219 000A1AD0 NtReadVirtualMemoryEx
        547  21A 000A1AF0 NtRecoverEnlistment
        548  21B 000A1B10 NtRecoverResourceManager
