Microsoft (R) COFF/PE Dumper Version 14.43.34808.0
Copyright (C) Microsoft Corporation.  All rights reserved.

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    5C6E1C38 time date stamp Thu Feb 21 11:34:16 2019
        0.00 version
           1 ordinal base
        399  180 0001FE8C NtQueryAttributesFile
        400  181 000212D8 NtQueryBootEntryOrder
        401  182 000212F0 NtQueryBootOptions
        402  183 00021308 NtQueryDebugFilterState
        403  184 0001FAA4 NtQueryDefaultLocale
        404  185 0001FF38 NtQueryDefaultUILanguage
        405  186 0001FDC8 NtQueryDirectoryFile
        406  187 00021324 NtQueryDirectoryObject
        407  188 0002133C NtQueryDriverEntryOrder
        408  189 00021354 NtQueryEaFile
        409  18A 000200FC NtQueryEvent
        410  18B 0002136C NtQueryFullAttributesFile
        411  18C 00021384 NtQueryInformationAtom
        412  18D 0002139C NtQueryInformationEnlistment
        413  18E 0001FA40 NtQueryInformationFile
        414  18F 000213B4 NtQueryInformationJobObject
        415  190 000213CC NtQueryInformationPort
        416  191 0001FB08 NtQueryInformationProcess
        417  192 000213E4 NtQueryInformationResourceManager
        418  193 0001FC38 NtQueryInformationThread
        419  194 0001FBD8 NtQueryInformationToken
        420  195 000213FC NtQueryInformationTransaction
        421  196 00021414 NtQueryInformationTransactionManager
        422  197 0002142C NtQueryInformationWorkerFactory
        423  198 00021444 NtQueryInstallUILanguage
        424  199 00021460 NtQueryIntervalProfile
        425  19A 0002147C NtQueryIoCompletion
        426  19B 0001FAC0 NtQueryKey
        427  19C 00021494 NtQueryLicenseValue
        428  19D 000214AC NtQueryMultipleValueKey
        429  19E 000214C4 NtQueryMutant
        430  19F 0001FA28 NtQueryObject
        431  1A0 000214DC NtQueryOpenSubKeys
        432  1A1 000214F4 NtQueryOpenSubKeysEx
        433  1A2 0001FD60 NtQueryPerformanceCounter
        434  1A3 0002150C NtQueryPortInformationProcess
        435  1A4 00021528 NtQueryQuotaInformationFile
        436  1A5 00020080 NtQuerySection
        437  1A6 00021540 NtQuerySecurityAttributesToken
        438  1A7 00021558 NtQuerySecurityObject
        439  1A8 00021570 NtQuerySemaphore
        440  1A9 00021588 NtQuerySymbolicLinkObject
        441  1AA 000215A0 NtQuerySystemEnvironmentValue
